CNPJ;Razao_social;Nome_fantasia;Tipo;Data_abertura;Situacao_cadastral;Data_da_situacao_cadastral;Capital_social;Natureza_juridica;MEI;Logradouro;Numero;Complemento;CEP;Bairro;Municipio;UF;Telefone;Email;Quadro_societario;Atividade_principal;Atividades_secundaria
12427747000100;MATA GRANDE METAIS LTDA;MATA GRANDE METAIS;MATRIZ;24/08/2010;ATIVA;24/08/2010;630000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R CATALAO;2223;NONE;35701174;VALE DAS PALMEIRAS;SETE LAGOAS;MG;3137764994;marcos.moyses@hotmail.com;['MARCELO LIMA DE DEUS - Sócio-Administrador', 'EDSON LIMA DE DEUS - Sócio-Administrador'];['3831999 - Recuperação de materiais metálicos, exceto alumínio'];['710302 - Pelotização, sinterização e outros beneficiamentos de minério de ferro', '2451200 - Fundição de ferro e aço', '4685100 - Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção']
02650047000126;DAKHIA INDUSTRIA E COMERCIO DE TERMOPLASTICOS LTDA;DAKHIA;MATRIZ;03/07/1998;ATIVA;14/10/2005;1000000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;AV FABIO EDUARDO RAMOS ESQUIVEL;2424;NONE;09941202;CANHEMA;DIADEMA;SP;1132968550;paulo@dakhia.com.br;['RINALDO SUMI - Sócio-Administrador', 'PAULO FERNANDES SILVA - Sócio-Administrador'];['2031200 - Fabricação de resinas termoplásticas'];['2229399 - Fabricação de artefatos de material plástico para outros usos não especificados anteriormente']
22341488000153;FC PREPRESS EIRELI;FC PREPRESS;MATRIZ;28/04/2015;ATIVA;28/04/2015;95400.0;2305 - EMPRESA INDIVIDUAL DE RESP.LIMITADA (DE NATUREZA EMPRESARIA);Não;R SANTO CRISTO;76;A;06807260;JARDIM VISTA ALEGRE;EMBU DAS ARTES;SP;1147040440;cardoso.abreu@hotmail.com;['RAIMUNDO NONATO CARDOSO DE ABREU - Titular Pessoa Física Residente ou Domiciliado no Brasil'];['3314710 - Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente'];NONE
00643504000120;AVANCO ARTIGOS DOMESTICOS LTDA;TUPPERWARE CAMPO GRANDE;MATRIZ;09/06/1995;ATIVA;11/09/2004;50000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R MARECHAL RONDON;142;NONE;79008001;AMAMBAI;CAMPO GRANDE;MS;['6733686900', '6733686901'];NONE;['RICARDO NOVAIS OLIVEIRA - Sócio-Administrador', 'PAULO SERGIO NOVAIS OLIVEIRA - Sócio-Administrador'];['4759899 - Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente'];['4646001 - Comércio atacadista de cosméticos e produtos de perfumaria', '4649499 - Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente', '4772500 - Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal', '5211799 - Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis']
14335542000200;ADS COMERCIO DE PECAS AUTOMOTIVAS LTDA;HDS REFRIGERACAO;FILIAL;25/05/2015;ATIVA;25/05/2015;600000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;AV DULCE SARMENTO;2165;NONE;39401485;VILA IPIRANGA;MONTES CLAROS;MG;['3132418119', '3132418192'];sibecon@terra.com.br;['ALEXSANDRO BRANDAO - Sócio-Administrador', 'GHS PARTICIPACOES S/A. - Sócio', 'LUIZ MARIO DE OLIVEIRA - Administrador', 'EVANILDO LUIZ PALATINSKY - Administrador'];['4530701 - Comércio por atacado de peças e acessórios novos para veículos automotores'];NONE
02795922000168;ANTONIO DE PADUA MELO CAMBRAIA - CPF ;PADUA PREST DE SERV IND E COM;MATRIZ;12/12/1988;ATIVA;03/11/2005;0.0;2135 - EMPRESARIO (INDIVIDUAL);Sim;R ASTOLFO DUTRA;199;"GALPAO;";35702136;UNIVERSITARIO;SETE LAGOAS;MG;['3137764994', '3137746266'];marcos.moyses@hotmail.com;NONE;"['4663000 - Comércio atacadista de Máquinas e equipamentos para uso industrial; partes e peças']";"['1610204 - Serrarias sem desdobramento de madeira em bruto  -Resserragem', '3314720 - Manutenção e reparação de máquinas e equipamentos para a indústria têxtil, do vestuário, do couro e calçados', '4669999 - Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças', '4744002 - Comércio varejista de madeira e artefatos', '810004 - Extração de calcário e dolomita e beneficiamento associado']"
18627567000158;M.H. DA SILVA TOTTOLI;NONE;MATRIZ;06/08/2013;ATIVA;06/08/2013;20000.0;2135 - EMPRESARIO (INDIVIDUAL);Não;R JOAQUIM ULISSES SARMENTO;514 A;NONE;13033080;JARDIM AURELIA;CAMPINAS;SP;1932723533;flamacontabil@terra.com.br;NONE;['1413401 - Confecção de roupas profissionais, exceto sob medida'];['4781400 - Comércio varejista de artigos do vestuário e acessórios']
14393129000200;MARIA GORETI DE CASTRO;NONE;FILIAL;16/10/2012;ATIVA;16/10/2012;0.0;4120 - PRODUTOR RURAL (PESSOA FISICA);Não;FAZ TRES MARIAS;SN;NONE;14350000;RURAL;ALTINOPOLIS;SP;['1636652334', '1636651900'];agropecuariatresmarias@hotmail.com;NONE;['0134200 - Cultivo de café'];['113000 - Cultivo de cana-de-açúcar']
22692202000184;LUIZ GARCIA PALMA NETO E OUTROS;NONE;MATRIZ;19/06/2015;ATIVA;19/06/2015;0.0;4120 - PRODUTOR RURAL (PESSOA FISICA);Não;SIT BEIJA FLOR;SN;NONE;14350000;RURAL;ALTINOPOLIS;SP;['1636651900', '1636652277'];contabilidade@conag.com.br;['LUIZ GARCIA PALMA NETO - Produtor Rural', 'ANA LUISA DE OLIVEIRA PALMA - Produtor Rural', 'DANIEL VIEIRA DE ANDRADE PALMA - Produtor Rural'];['0134200 - Cultivo de café'];NONE
02967526000170;RALSKI RESTAURANTES LTDA;NONE;MATRIZ;08/02/1999;ATIVA;06/11/1999;10000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;AV HIGIENOPOLIS;646;LJ.ARCO 323 PAV. HIG.;01238000;HIGIENOPOLIS;SAO PAULO;SP;1135767200;vlc@vlcconsultores.com.br;['ROBERTO BIELAWSKI - Sócio', 'RATI PARTICIPACOES LTDA. - Sócio', 'BIELSTON PARTICIPACOES LTDA - Sócio', 'RODRIGO MARTIN FERRAIOLE TESTA - Administrador'];['5611201 - Restaurantes e similares'];['5611203 - Lanchonetes, casas de chá, de sucos e similares']
00253137002010;DANA INDUSTRIAS LTDA;NONE;FILIAL;16/08/2017;ATIVA;16/08/2017;8191520544.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;AV SMITH VASCONCELLOS;1000;NONE;13054740;DISTRITO INDUSTRIAL;CAMPINAS;SP;1145881500;paulo.missiaggia@dana.com;['DANA BRAZIL HOLDINGS LLC - Sócio Pessoa Jurídica Domiciliado no Exterior', 'JORGE DELGADO RAMOS FILHO - Administrador', 'DANA BRAZIL HOLDINGS I LLC - Sócio Pessoa Jurídica Domiciliado no Exterior', 'RAUL GERMANY JUNIOR - Administrador', 'PAULO ANTONIO GOMES GRANJA - Administrador'];['2949299 - Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente'];['2869100 - Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios', '2531401 - Produção de forjados de aço', '2451200 - Fundição de ferro e aço', '7020400 - Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica', '7120100 - Testes e análises técnicas', '2539001 - Serviços de usinagem, tornearia e solda', '7739099 - Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador']
19769349000110;APTUS CONTABILIDADE LTDA;APTUS CONTABILIDADE;MATRIZ;21/02/2014;ATIVA;21/02/2014;90000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;AV DR PIO ANTUNES DE FIGUEIREDO;35;SALA 01 02 E 03;14350000;QUINTA DA BOA VISTA;ALTINOPOLIS;SP;1636651900;contabilidade@aptuscontabilidade.com.br;['ALEX DONIZETI RIBEIRO - Sócio-Administrador', 'FABRICIO ROBERTO ROSA - Sócio-Administrador'];['6920601 - Atividades de contabilidade'];NONE
23784454000104;ERIDANOS RESTAURANTES LTDA;CORTES;MATRIZ;03/12/2015;ATIVA;03/12/2015;3250000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;ROD HELIO SMIDT;S/N;LUC N1T2006        TERMINAL 2;07190100;AEROPORTO;GUARULHOS;SP;1135767200;vlc@vlcconsultores.com.br;['CYGNUS PARTICIPACOES LTDA. - Sócio', 'HUS PARTICIPACOES LTDA - Sócio', 'RODRIGO MARTIN FERRAIOLE TESTA - Administrador'];['5611201 - Restaurantes e similares'];['5611203 - Lanchonetes, casas de chá, de sucos e similares']
02710474000233;BATERIAS GETSEMANI LTDA;GUSTAVO BATERIAS;FILIAL;13/03/2018;ATIVA;13/03/2018;50000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;AV FRANCISCO SA;168;NONE;30411145;PRADO;BELO HORIZONTE;MG;['3134744966', '3134351325'];gilma.fagundes1@gmail.com;['KENIA RABELO CALADO DRUMOND ROCHA - Sócio-Administrador', 'GUSTAVO RABELO CALADO - Sócio-Administrador', 'THIAGO RABELO CALADO - Sócio-Administrador'];['4530703 - Comércio a varejo de peças e acessórios novos para veículos automotores'];NONE
03439215000100;CAMPWARE COMERCIO E DISTRIBUICAO DE PRODUTOS DE PLASTICOS LTDA.;CAMPWARE;MATRIZ;04/10/1999;ATIVA;24/12/2004;5000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;AV ANDRADE NEVES;349;NONE;13013160;CENTRO;CAMPINAS;SP;['1932550077', '1137853388'];otacilio@niconscontabil.com;['MARIANA DE STEFANO LAGO - Sócio-Administrador', 'RITA DE CASSIA DE STEFANO LAGO - Sócio-Administrador'];['4649499 - Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente'];['4639701 - Comércio atacadista de produtos alimentícios em geral', '4646001 - Comércio atacadista de cosméticos e produtos de perfumaria', '4649401 - Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico', '4649408 - Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar', '4729699 - Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente', '4759899 - Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente', '4772500 - Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal', '4789005 - Comércio varejista de produtos saneantes domissanitários', '8211300 - Serviços combinados de escritório e apoio administrativo']
24783601000186;PRMB COMERCIAL E DISTRIBUIDORA DE CALCADOS LTDA;NONE;MATRIZ;12/05/2016;ATIVA;12/05/2016;50000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R DO COMERCIO;224;NONE;57020000;CENTRO;MACEIO;AL;8233175951;atendimento@realcontabil-al.com.br;['PAULO ROBERTO MIRANDA BRANDAO - Sócio-Administrador', 'IRACI GOMES BRANDAO - Sócio-Administrador'];['4643501 - Comércio atacadista de calçados'];['4782201 - Comércio varejista de calçados', '7723300 - Aluguel de objetos do vestuário, jóias e acessórios']
03383010000141;NORPACK INDUSTRIA E COMERCIO DE PRODUTOS PLASTICOS LTDA;NORPACK LTDA;FILIAL;13/07/1999;ATIVA;24/09/2005;10442600.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R DO BRONZE;S/N;LOTE 01 A 03;42801733;POLO DE APOIO;CAMACARI;BA;7121049194;laureneventura@europackne.com.br;['FLORAL RIVERSIDE CORPORATION - Sócio Pessoa Jurídica Domiciliado no Exterior', 'THEO REITER - Sócio-Administrador', 'PAUL ANDRE REITER - Sócio-Administrador'];['2222600 - Fabricação de embalagens de material plástico'];NONE
04096733000122;CENTRO OESTE DISTRIBUIDORA DE PRODUTOS PLASTICOS LTDA;TUPPERWARE;MATRIZ;10/10/2000;ATIVA;10/10/2000;0.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R 123;297;QD F44, LT 35/33;74093040;SETOR SUL;GOIANIA;GO;['6232417332', '6232552336'];NONE;['ARLINDO NOVAIS OLIVEIRA - Sócio', 'PAULO SERGIO NOVAIS OLIVEIRA - Sócio-Administrador'];['4759899 - Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente'];['4772500 - Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal']
27627326000108;MARCOS TADEU ROSA;NONE;MATRIZ;01/03/2017;ATIVA;01/03/2017;0.0;4120 - PRODUTOR RURAL (PESSOA FISICA);Não;REC EMATHA;0;NONE;14390000;RURAL;SANTO ANTONIO DA ALEGRIA;SP;['1636651900', '1681439070'];contabilidade@aptuscontabilidade.com.br;NONE;['0151201 - Criação de bovinos para corte'];['151202 - Criação de bovinos para leite']
04323643000127;REFRACONT BRASIL LTDA;RITIFIBRAS DO BRASIL;MATRIZ;06/03/2001;ATIVA;03/11/2005;1200000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;ROD BR 262 - KM 366,50;S/N;NONE;35675000;JARDIM DA BAVIERA;JUATUBA;MG;3132014566;multcont@multcont.com.br;['CARLA INACIO DOS SANTOS MACEDO - Sócio-Administrador', 'BERENICE MARIA DE JESUS DIAS SOBRINHO - Sócio'];['2399199 - Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente'];['2319200 - Fabricação de artigos de vidro', '3292201 - Fabricação de roupas de proteção e segurança e resistentes a fogo', '3317101 - Manutenção e reparação de embarcações e estruturas flutuantes', '3319800 - Manutenção e reparação de equipamentos e produtos não especificados anteriormente', '3329599 - Instalação de outros equipamentos não especificados anteriormente', '4120400 - Construção de edifícios', '4292801 - Montagem de estruturas metálicas', '4299599 - Outras obras de engenharia civil não especificadas anteriormente', '4322302 - Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração', '4322303 - Instalações de sistema de prevenção contra incêndio', '4329105 - Tratamentos térmicos, acústicos ou de vibração', '4329199 - Outras obras de instalações em construções não especificadas anteriormente', '4330404 - Serviços de pintura de edifícios em geral', '4399101 - Administração de obras', '4399102 - Montagem e desmontagem de andaimes e outras estruturas temporárias', '4399199 - Serviços especializados para construção não especificados anteriormente', '4619200 - Representantes comerciais e agentes do comércio de mercadorias em geral não especializado', '4679604 - Comércio atacadista especializado de materiais de construção não especificados anteriormente', '4685100 - Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção', '4689399 - Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente', '4744005 - Comércio varejista de materiais de construção não especificados anteriormente', '4789099 - Comércio varejista de outros produtos não especificados anteriormente', '5212500 - Carga e descarga', '7732202 - Aluguel de andaimes']
20291715000158;PISCIUS RESTAURANTES LTDA;CORTES;MATRIZ;21/05/2014;ATIVA;21/05/2014;3500000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;AV AFRANIO DE MELO FRANCO;290;SHOPPING LEBLON   LOJA 410/411;22430060;LEBLON;RIO DE JANEIRO;RJ;1135767200;vlc@vlcconsultores.com.br;['HUS PARTICIPACOES LTDA - Sócio', 'FORNAX PARTICIPACOES LTDA - Sócio', 'ANTONIO JOSE APPEL - Administrador'];['5611201 - Restaurantes e similares'];['5611203 - Lanchonetes, casas de chá, de sucos e similares']
27813731000102;CONFEITARIA DA RO LTDA;DOCES DA RO;MATRIZ;24/05/2017;ATIVA;24/05/2017;20000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R VENEZUELA;417;NONE;35702282;NOVA CIDADE;SETE LAGOAS;MG;3175960586;robertahleal@gmail.com;['ROBERTA CRISTINA PESSOA LEAL - Sócio-Administrador', 'EDERSON TEIXEIRA LEAL - Sócio-Administrador'];['1091102 - Fabricação de produtos de padaria e confeitaria com predominância de produção própria'];NONE
06913480001725;DIMENSIONAL BRASIL SOLUCOES LTDA;DIMENSIONAL;FILIAL;02/03/2020;ATIVA;02/03/2020;216970752.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;5 AV AVENIDA ANTONIO ARTIOLI 570;570;SALA 101 A 112;13049900;SWISS PARK;CAMPINAS;SP;['1934467400', '1934467548'];renato.ribeiro@dimensional.com.br;['ROSA & LEAL PATICIPACOES E EMPREEDIMENTOS LTDA - Sócio', 'HERVE SALMON - Sócio-Administrador', 'ERIC MICHEL FOURCINE - Administrador', 'DANIEL TOLEDO - Administrador', 'DANIELE DE CASSIA TOLEDO - Administrador'];['4742300 - Comércio varejista de material elétrico'];NONE
05381281000274;COMERCIAL ELETRICA DW LTDA;NONE;FILIAL;10/02/2005;BAIXADA;30/12/2020;22363296.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;NONE;NONE;NONE;NONE;NONE;NONE;NONE;['4133165098', '4133165056'];aluisio.ferreira@eletricadw.com.br;['HERVE SALMON - Sócio', 'YANNICK JOEL LAPORTE - Administrador', 'DANIEL TOLEDO - Administrador', 'DANIELE DE CASSIA TOLEDO - Administrador', 'ROSA & LEAL PARTICIPACOES E EMPREENDIMENTOS S.A. - Sócio'];NONE;"['4742300 - Comércio varejista de material elétrico', '7020400 - Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica', '6463800 - Outras sociedades de participação, exceto holdings', '7112000 - Serviços de engenharia', '3313999 - Manutenção e reparação de máquinas, aparelhos e materiais elétricos não especificados anteriormente', '4751201 - Comércio varejista especializado de equipamentos e suprimentos de informática', '4649408 - Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar', '4642702 - Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho', '4665600 - Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças', '4652400 - Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação', '4651601 - Comércio atacadista de equipamentos de informática', '4651602 - Comércio atacadista de suprimentos para informática']"
26073737000128;MASTER CLIMA LTDA;MASTER CLIMA;MATRIZ;31/08/2016;ATIVA;31/08/2016;20000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R ALMERINDA DA COSTA RIBEIRO;15;NONE;32015270;CANADA;CONTAGEM;MG;3133986822;joelma.contabil@uol.com.br;['ROSANA RIBEIRO DA SILVA CASTRO - Sócio-Administrador', 'RAIMUNDO RIBEIRO DA SILVA - Sócio'];['4530703 - Comércio a varejo de peças e acessórios novos para veículos automotores'];['4520007 - Serviços de instalação, manutenção e reparação de acessórios para veículos automotores']
06923058000193;RISOTHERM COMERCIO E SERVICOS DE PROTECAO PASSIVA CONTRA INCENDIO LTDA;RISOTHERM FIRESTOP;MATRIZ;16/07/2004;ATIVA;16/07/2004;200000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R CATEQUESE;1171;CONJ 33         ANDAR 3          EDIF LABOR II;09090401;VILA GUIOMAR;SANTO ANDRE;SP;3133553008;contas@refracont.com.br;['ANTONIO CARLOS MACEDO ARAUJO - Sócio-Administrador'];['4789099 - Comércio varejista de outros produtos não especificados anteriormente'];['4322303 - Instalações de sistema de prevenção contra incêndio']
